Time resolution is 1 ps
Đọc file thành công!
Time: 315000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operand_address_out:  x | mux_select: 1 | pc_enable: 0 
Time: 355000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operand_address_out:  x | mux_select: 0 | pc_enable: 0 
Time: 375000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operand_address_out:  x | mux_select: 1 | pc_enable: 0 
Time: 415000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operand_address_out:  x | mux_select: 0 | pc_enable: 0 
Time: 435000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operand_address_out:  x | mux_select: 1 | pc_enable: 0 
Time: 475000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operand_address_out:  x | mux_select: 0 | pc_enable: 0 
Time: 495000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operand_address_out:  x | mux_select: 1 | pc_enable: 0 
Time: 535000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operand_address_out:  x | mux_select: 0 | pc_enable: 0 
Time: 555000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operand_address_out:  x | mux_select: 1 | pc_enable: 0 
Time: 595000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operand_address_out:  x | mux_select: 0 | pc_enable: 0 
Time: 615000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operand_address_out:  x | mux_select: 1 | pc_enable: 0 
Time: 655000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operand_address_out:  x | mux_select: 0 | pc_enable: 0 
Time: 675000 | PC_out: 6 | Opcode: xxx | Operand: xxxxx | Accumulator: 27 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  x | operan
